section,table_name,name,detail_1,detail_2,detail_3,definition
foreign_keys,notes,notes_hospitalization_id_fkey,hospitalization_id,hospitalization.id,NO ACTION / CASCADE,
foreign_keys,notes,notes_patient_id_fkey,patient_id,patients.id,NO ACTION / CASCADE,
foreign_keys,notes,notes_task_id_fkey,task_id,tasks.id,NO ACTION / CASCADE,
indexes,notes,idx_notes_clinic_id,,,,CREATE INDEX idx_notes_clinic_id ON public.notes USING btree (c
indexes,notes,idx_notes_created_at,,,,CREATE INDEX idx_notes_created_at ON public.notes USING btree (
indexes,notes,idx_notes_hospitalization_id,,,,CREATE INDEX idx_notes_hospitalization_id ON public.notes USING
indexes,notes,idx_notes_important,,,,CREATE INDEX idx_notes_important ON public.notes USING btree (i
indexes,notes,idx_notes_patient_id,,,,CREATE INDEX idx_notes_patient_id ON public.notes USING btree (
indexes,notes,idx_notes_task_id,,,,CREATE INDEX idx_notes_task_id ON public.notes USING btree (tas
indexes,notes,idx_notes_type,,,,CREATE INDEX idx_notes_type ON public.notes USING btree (note_t
indexes,notes,notes_pkey,,,,CREATE UNIQUE INDEX notes_pkey ON public.notes USING btree (id)
rls,notes,Allow authenticated clinic members to delete notes,ENABLED,DELETE,authenticated,
rls,notes,Allow authenticated clinic members to insert notes,ENABLED,INSERT,authenticated,
rls,notes,Allow authenticated clinic members to update notes,ENABLED,UPDATE,authenticated,qual=is_member_of(clinic_id) | with_check=is_member_of(clinic_i
rls,notes,Allow authenticated clinic members to view notes,ENABLED,SELECT,authenticated,
rls,notes,Public read access to notes,ENABLED,SELECT,authenticated,
triggers,notes,tr_notes_updated,,,,update_notes_updated_at
columns,owners,address,6,text,YES,
columns,owners,clinic_id,2,uuid,NO,
columns,owners,created_at,7,timestamp with time zone,NO,now()
columns,owners,email,5,USER-DEFINED,YES,
columns,owners,id,1,uuid,NO,uuid_generate_v4()
columns,owners,name,3,text,NO,
columns,owners,national_id,9,text,YES,
columns,owners,phone,4,text,YES,
columns,owners,updated_at,8,timestamp with time zone,NO,now()
constraints,owners,owners_email_unique,UNIQUE,"clinic_id, email",,
constraints,owners,owners_pkey,PRIMARY KEY,id,,
foreign_keys,owners,owners_clinic_id_fkey,clinic_id,clinics.id,NO ACTION / CASCADE,
indexes,owners,idx_owners_name_trgm,,,,CREATE INDEX idx_owners_name_trgm ON public.owners USING gin (n
indexes,owners,owners_clinic_national_id_unique,,,,CREATE UNIQUE INDEX owners_clinic_national_id_unique ON public.
indexes,owners,owners_email_unique,,,,"CREATE UNIQUE INDEX owners_email_unique ON public.owners USING "
indexes,owners,owners_pkey,,,,CREATE UNIQUE INDEX owners_pkey ON public.owners USING btree (i
rls,owners,Public read access to owners,ENABLED,SELECT,authenticated,
rls,owners,owners_delete,ENABLED,DELETE,authenticated,
rls,owners,owners_insert,ENABLED,INSERT,authenticated,
rls,owners,owners_select,ENABLED,SELECT,authenticated,
rls,owners,owners_update,ENABLED,UPDATE,authenticated,qual=is_member_of(clinic_id) | with_check=is_member_of(clinic_i
rls,owners,temp_all_select_owners,ENABLED,SELECT,"anon, authenticated",
triggers,owners,trg_owners_updated,,,,set_updated_at
columns,patients,admission_date,24,date,YES,
columns,patients,birth_date,8,date,YES,
columns,patients,breed,22,text,YES,
columns,patients,breed_id,7,uuid,YES,
columns,patients,clinic_id,2,uuid,NO,
columns,patients,created_at,15,timestamp with time zone,NO,now()
columns,patients,created_by,14,uuid,YES,
columns,patients,feeding,26,text,YES,
columns,patients,history_number,20,text,YES,
columns,patients,hydration,30,text,YES,
columns,patients,id,1,uuid,NO,uuid_generate_v4()
columns,patients,mrn,4,text,NO,
columns,patients,mrn_int,19,integer,YES,
columns,patients,name,5,text,NO,
columns,patients,notes,12,text,YES,
columns,patients,owner_id,3,uuid,YES,
columns,patients,owner_lastname,23,text,YES,
columns,patients,photo_path,13,text,YES,
columns,patients,pulse,29,integer,YES,
columns,patients,respiration,28,integer,YES,
columns,patients,sex,9,text,YES,
columns,patients,species,21,text,YES,
columns,patients,species_code,6,text,NO,
columns,patients,temperamento,10,text,YES,
columns,patients,temperature,27,numeric,YES,
columns,patients,updated_at,16,timestamp with time zone,NO,now()
columns,patients,weight,25,numeric,YES,
columns,patients,weight_kg,11,numeric,YES,
constraints,patients,patients_mrn_unique,UNIQUE,mrn,,
constraints,patients,patients_pkey,PRIMARY KEY,id,,
constraints,patients,patients_unique_mrn,UNIQUE,"clinic_id, mrn",,
foreign_keys,patients,patients_breed_id_fkey,breed_id,breeds.id,NO ACTION / NO ACTION,
foreign_keys,patients,patients_clinic_id_fkey,clinic_id,clinics.id,NO ACTION / CASCADE,
foreign_keys,patients,patients_owner_id_fkey,owner_id,owners.id,NO ACTION / SET NULL,
foreign_keys,patients,patients_species_code_fkey,species_code,species.code,NO ACTION / NO ACTION,
indexes,patients,idx_patients_clinic_mrn,,,,"CREATE UNIQUE INDEX idx_patients_clinic_mrn ON public.patients "
indexes,patients,idx_patients_mrn,,,,CREATE INDEX idx_patients_mrn ON public.patients USING btree (m
indexes,patients,idx_patients_mrn_int,,,,CREATE INDEX idx_patients_mrn_int ON public.patients USING btre
indexes,patients,idx_patients_name_trgm,,,,CREATE INDEX idx_patients_name_trgm ON public.patients USING gi
indexes,patients,patients_mrn_unique,,,,CREATE UNIQUE INDEX patients_mrn_unique ON public.patients USIN
indexes,patients,patients_pkey,,,,CREATE UNIQUE INDEX patients_pkey ON public.patients USING btre
indexes,patients,patients_unique_mrn,,,,CREATE UNIQUE INDEX patients_unique_mrn ON public.patients USIN
rls,patients,Public read access to patients,ENABLED,SELECT,authenticated,
rls,patients,patients_delete,ENABLED,DELETE,authenticated,
rls,patients,patients_insert,ENABLED,INSERT,authenticated,
rls,patients,patients_select,ENABLED,SELECT,authenticated,
rls,patients,patients_update,ENABLED,UPDATE,authenticated,qual=is_member_of(clinic_id) | with_check=is_member_of(clinic_i
rls,patients,temp_all_delete_patients,ENABLED,DELETE,authenticated,
rls,patients,temp_all_select_patients,ENABLED,SELECT,"anon, authenticated",
rls,patients,temp_all_update_patients,ENABLED,UPDATE,authenticated,qual=true | with_check=true
rls,patients,temp_all_write_patients,ENABLED,INSERT,authenticated,
triggers,patients,tr_patients_touch,,,,tg_touch_updated_at
triggers,patients,trg_patients_updated,,,,set_updated_at
columns,patients_search,age,18,integer,YES,
columns,patients_search,birth_date,11,date,YES,
columns,patients_search,breed_id,8,uuid,YES,
columns,patients_search,breed_label,9,text,YES,
columns,patients_search,clinic_id,2,uuid,YES,
columns,patients_search,color,12,text,YES,
columns,patients_search,history_number,3,text,YES,
columns,patients_search,mrn_int,4,integer,YES,
columns,patients_search,owner_email,17,USER-DEFINED,YES,
columns,patients_search,owner_id,14,uuid,YES,
columns,patients_search,owner_name,15,text,YES,
columns,patients_search,owner_phone,16,text,YES,
columns,patients_search,patient_id,1,uuid,YES,
columns,patients_search,patient_name,5,text,YES,
columns,patients_search,sex,10,text,YES,
columns,patients_search,species_code,6,text,YES,
columns,patients_search,species_label,7,text,YES,
columns,patients_search,weight_kg,13,numeric,YES,
rls,patients_search,(no policy),DISABLED,,,
columns,species,code,1,text,NO,
columns,species,label,2,text,NO,
constraints,species,species_pkey,PRIMARY KEY,code,,
indexes,species,species_pkey,,,,"CREATE UNIQUE INDEX species_pkey ON public.species USING btree "
rls,species,Public read access to species,ENABLED,SELECT,authenticated,
rls,species,species_read,ENABLED,SELECT,public,
columns,v_app,admission_date,19,date,YES,
columns,v_app,assigned_vet,28,uuid,YES,
columns,v_app,assigned_vet_email,30,character varying,YES,
columns,v_app,assigned_vet_name,31,text,YES,
columns,v_app,bed_number,24,text,YES,
columns,v_app,birth_date,7,date,YES,
columns,v_app,breed_id,10,uuid,YES,
columns,v_app,breed_image_url,12,text,YES,
columns,v_app,breed_label,11,text,YES,
columns,v_app,clinic_id,2,uuid,YES,
columns,v_app,completed_tasks,33,bigint,YES,
columns,v_app,diagnosis,25,text,YES,
columns,v_app,discharge_date,20,date,YES,
columns,v_app,history_number,4,text,YES,
columns,v_app,hospitalization_created_at,29,timestamp with time zone,YES,
columns,v_app,hospitalization_id,18,uuid,YES,
columns,v_app,hospitalization_priority,22,text,YES,
columns,v_app,hospitalization_status,21,text,YES,
columns,v_app,important_notes,35,bigint,YES,
columns,v_app,last_activity,38,timestamp with time zone,YES,
columns,v_app,mrn_int,5,integer,YES,
columns,v_app,overdue_tasks,34,bigint,YES,
columns,v_app,owner_address,17,text,YES,
columns,v_app,owner_email,16,USER-DEFINED,YES,
columns,v_app,owner_id,13,uuid,YES,
columns,v_app,owner_name,14,text,YES,
columns,v_app,owner_phone,15,text,YES,
columns,v_app,patient_id,1,uuid,YES,
columns,v_app,patient_name,3,text,YES,
columns,v_app,pending_tasks,32,bigint,YES,
columns,v_app,room_number,23,text,YES,
columns,v_app,sex,6,text,YES,
columns,v_app,special_instructions,27,text,YES,
columns,v_app,species_code,8,text,YES,
columns,v_app,species_label,9,text,YES,
columns,v_app,today_completions,37,bigint,YES,
columns,v_app,today_notes,36,bigint,YES,
columns,v_app,treatment_plan,26,text,YES,
rls,v_app,(no policy),DISABLED,,,
columns,v_hosp,admission_date,19,date,YES,
columns,v_hosp,assigned_vet,28,uuid,YES,
columns,v_hosp,assigned_vet_email,30,character varying,YES,
columns,v_hosp,assigned_vet_name,31,text,YES,
columns,v_hosp,bed_number,24,text,YES,
columns,v_hosp,birth_date,7,date,YES,
columns,v_hosp,breed_id,10,uuid,YES,
columns,v_hosp,breed_image_url,12,text,YES,
columns,v_hosp,breed_label,11,text,YES,
columns,v_hosp,clinic_id,2,uuid,YES,
columns,v_hosp,completed_tasks,33,bigint,YES,
columns,v_hosp,diagnosis,25,text,YES,
columns,v_hosp,discharge_date,20,date,YES,
columns,v_hosp,history_number,4,text,YES,
columns,v_hosp,hospitalization_created_at,29,timestamp with time zone,YES,
columns,v_hosp,hospitalization_id,18,uuid,YES,
columns,v_hosp,hospitalization_priority,22,text,YES,
columns,v_hosp,hospitalization_status,21,text,YES,
columns,v_hosp,important_notes,35,bigint,YES,
columns,v_hosp,last_updated,37,timestamp with time zone,YES,
columns,v_hosp,mrn_int,5,integer,YES,
columns,v_hosp,overdue_tasks,34,bigint,YES,
columns,v_hosp,owner_address,17,text,YES,
columns,v_hosp,owner_email,16,USER-DEFINED,YES,
columns,v_hosp,owner_id,13,uuid,YES,
columns,v_hosp,owner_name,14,text,YES,
columns,v_hosp,owner_phone,15,text,YES,
columns,v_hosp,patient_id,1,uuid,YES,
columns,v_hosp,patient_name,3,text,YES,
columns,v_hosp,pending_tasks,32,bigint,YES,
columns,v_hosp,room_number,23,text,YES,
columns,v_hosp,sex,6,text,YES,
columns,v_hosp,special_instructions,27,text,YES,
columns,v_hosp,species_code,8,text,YES,
columns,v_hosp,species_label,9,text,YES,
columns,v_hosp,today_notes,36,bigint,YES,
columns,v_hosp,treatment_plan,26,text,YES,
rls,v_hosp,(no policy),DISABLED,,,
columns,v_public_dashboard,bed_number,14,text,YES,
columns,v_public_dashboard,breed_id,7,uuid,YES,
columns,v_public_dashboard,breed_label,8,text,YES,
columns,v_public_dashboard,completed_tasks,16,bigint,YES,
columns,v_public_dashboard,history_number,3,text,YES,
columns,v_public_dashboard,hospitalization_priority,12,text,YES,
columns,v_public_dashboard,hospitalization_status,11,text,YES,
columns,v_public_dashboard,important_notes,17,bigint,YES,
columns,v_public_dashboard,owner_name,9,text,YES,
columns,v_public_dashboard,owner_phone,10,text,YES,
columns,v_public_dashboard,patient_id,1,uuid,YES,
columns,v_public_dashboard,patient_name,2,text,YES,
columns,v_public_dashboard,pending_tasks,15,bigint,YES,
columns,v_public_dashboard,room_number,13,text,YES,
columns,v_public_dashboard,sex,4,text,YES,
columns,v_public_dashboard,species_code,5,text,YES,
columns,v_public_dashboard,species_label,6,text,YES,
rls,v_public_dashboard,(no policy),DISABLED,,,
